step,mode,R_mean,R_std,avg_rt,avg_nodes,avg_lazy,avg_gap,avg_solved,tail_rt,tail_nodes,tail_lazy,tail_solved,loss,Hmix,rep,scale_reg,entropy_coeff,repulsion_w,scale_mean,scale_min,scale_max,center_pairdist_mean
1,all,6.548017978668213,1.9725638628005981,2.0993999242782593,347.1,102.6,3.882276573297862e-05,1.0,3.4499998887379966,568.3333333333334,149.66666666666666,1.0,-3.398655891418457,2.0794413089752197,0.9735880494117737,0.0,0.0199,0.009980000000000001,0.12742799520492554,0.12742799520492554,0.12742799520492554,0.042785562574863434
2,all,7.466954231262207,1.7349791526794434,2.767199969291687,499.7,125.3,4.4454625582839435e-05,1.0,4.953000068664551,721.3333333333334,174.0,1.0,6.249282360076904,2.078251600265503,0.9420954585075378,0.0,0.019800500000000002,0.009960040000000002,0.12904971837997437,0.12159746140241623,0.13352106511592865,0.06410001218318939
3,all,8.169893264770508,0.9290910959243774,4.046400046348571,522.8,142.6,2.3613949098566136e-05,1.0,6.009666760762532,578.3333333333334,183.33333333333334,1.0,-1.4876224994659424,2.077009916305542,0.9017236828804016,0.0,0.0197014975,0.009940119920000002,0.1298448145389557,0.11716674268245697,0.1393931806087494,0.08446437865495682
4,all,7.211171627044678,1.3790913820266724,2.351600003242493,431.5,100.1,5.261991329853683e-05,1.0,3.759333372116089,776.6666666666666,121.66666666666667,1.0,5.027622222900391,2.075906276702881,0.8505334258079529,0.0,0.0196029900125,0.009920239680160002,0.13012248277664185,0.11360786855220795,0.1442730724811554,0.10586299002170563
5,all,7.67386531829834,1.5590643882751465,3.3326999664306642,487.3,131.5,3.3419129050508655e-05,1.0,4.710333347320557,652.0,168.66666666666666,1.0,10.826298713684082,2.0755841732025146,0.7915867567062378,0.0,0.0195049750624375,0.009900399200799681,0.12998393177986145,0.11303947865962982,0.14713063836097717,0.12774482369422913
6,all,8.250955581665039,0.8346697688102722,3.5098999977111816,755.0,134.4,6.366313601988541e-05,1.0,5.711333354314168,1102.3333333333333,166.66666666666666,1.0,-6.207871437072754,2.075638771057129,0.7291637063026428,0.0,0.01940745018712531,0.009880598402398083,0.12978601455688477,0.11462730914354324,0.14961545169353485,0.149505615234375
7,all,6.75937032699585,1.8768999576568604,2.3226000308990478,331.9,114.2,3.797288812089473e-05,1.0,4.104333400726318,551.0,160.66666666666666,1.0,4.316647052764893,2.075103998184204,0.6654466986656189,0.0,0.019310412936189684,0.009860837205593286,0.12949508428573608,0.11604467034339905,0.15379106998443604,0.17140686511993408
8,all,7.567112922668457,1.6100733280181885,2.8879000186920165,465.9,133.8,9.229380121648133e-06,1.0,4.835333426793416,633.3333333333334,182.33333333333334,1.0,-1.779124140739441,2.0742664337158203,0.602811872959137,0.0,0.019213860871508736,0.0098411155311821,0.12944719195365906,0.11621542274951935,0.1579199880361557,0.19345034658908844
9,all,7.445356845855713,1.2713485956192017,2.45550000667572,483.5,116.1,4.728481497175522e-05,1.0,3.7339999675750732,735.6666666666666,151.33333333333334,1.0,-1.427574634552002,2.073129892349243,0.5435362458229065,0.0,0.019117791567151193,0.009821433300119736,0.12955410778522491,0.11271142214536667,0.16252794861793518,0.21554043889045715
10,all,6.078590393066406,1.9889914989471436,1.8854000091552734,264.4,101.9,3.056695285897831e-05,1.0,2.990000009536743,641.0,135.66666666666666,1.0,4.439099311828613,2.071471691131592,0.48916974663734436,0.0,0.019022202609315437,0.009801790433519496,0.12979482114315033,0.10935944318771362,0.16747654974460602,0.2376386821269989
11,all,7.320687770843506,1.9295873641967773,3.2269999980926514,423.2,121.1,3.985480052030901e-05,1.0,5.574666659037272,636.3333333333334,142.33333333333334,1.0,0.06274823099374771,2.070014238357544,0.4416903853416443,0.0,0.01892709159626886,0.009782186852652457,0.13009977340698242,0.10752475261688232,0.1714567244052887,0.259179025888443
12,all,8.228586196899414,0.9467756152153015,4.180399990081787,587.7,131.5,4.1894570446590256e-05,1.0,6.154333273569743,724.6666666666666,167.0,1.0,-7.306071758270264,2.069215774536133,0.40056294202804565,0.0,0.018832456138287518,0.009762622478947153,0.1301875114440918,0.10672706365585327,0.17473925650119781,0.2804071307182312
13,all,7.713418006896973,1.5422002077102661,3.562999987602234,493.8,134.5,4.021175027347724e-05,1.0,5.322666645050049,681.6666666666666,176.66666666666666,1.0,1.154735803604126,2.067781448364258,0.3668034076690674,0.0,0.01873829385759608,0.00974309723398926,0.13041003048419952,0.10521029680967331,0.17809520661830902,0.300493985414505
14,all,8.138238906860352,1.0765081644058228,3.599900007247925,663.0,135.2,5.303268154431151e-05,1.0,5.253666718800862,758.3333333333334,168.66666666666666,1.0,-3.4909396171569824,2.0668325424194336,0.33847299218177795,0.0,0.0186446023883081,0.00972361103952128,0.1305195391178131,0.10415094345808029,0.1786891371011734,0.3200955092906952
15,all,7.8490777015686035,1.7123183012008667,3.8886000156402587,505.3,139.5,3.569875127491358e-05,1.0,6.695666790008545,550.6666666666666,207.33333333333334,1.0,1.8114875555038452,2.0655760765075684,0.3151225447654724,0.0,0.01855137937636656,0.009704163817442237,0.13063569366931915,0.10291854292154312,0.1805153340101242,0.339032381772995
16,all,7.646620750427246,1.2798819541931152,2.850000023841858,545.9,120.5,2.7188646588150878e-05,1.0,3.792666753133138,905.3333333333334,123.0,1.0,-1.3332421779632568,2.0645601749420166,0.29631614685058594,0.0,0.018458622479484727,0.009684755489807352,0.13074129819869995,0.10162009298801422,0.18109770119190216,0.3569774329662323
17,all,9.098417282104492,3.4185478687286377,8.794799995422363,5183.7,127.4,0.00036256376792565556,0.9,23.50233332316081,16052.333333333334,152.33333333333334,0.6666666666666666,-4.1727094650268555,2.063023567199707,0.2811106741428375,0.0,0.018366329367087302,0.009665385978827738,0.130924254655838,0.10020539909601212,0.18244820833206177,0.37405696511268616
18,all,6.096806526184082,1.606764554977417,2.017799997329712,190.7,79.6,3.305960761161282e-05,1.0,4.246333281199138,482.6666666666667,106.33333333333333,1.0,2.0251166820526123,2.0614025592803955,0.26888540387153625,0.0,0.018274497720251866,0.009646055206870082,0.13110923767089844,0.09902631491422653,0.18402425944805145,0.39020875096321106
19,all,7.657772064208984,1.2059085369110107,2.8539000272750856,474.5,124.7,1.6614973125163794e-05,1.0,4.767000039418538,688.6666666666666,144.66666666666666,1.0,-2.019667625427246,2.0599935054779053,0.25918111205101013,0.0,0.018183125231650606,0.009626763096456343,0.13131281733512878,0.09719907492399216,0.18472827970981598,0.4052422344684601
20,all,8.238863945007324,4.039485454559326,8.756399965286255,2057.8,126.2,0.0005843452576045376,0.9,23.082666635513306,6010.333333333333,179.0,0.6666666666666666,7.299413681030273,2.0587666034698486,0.2513750493526459,0.0,0.018092209605492352,0.00960750957026343,0.13146357238292694,0.09602624177932739,0.1862194836139679,0.41933512687683105
21,all,7.3389387130737305,1.7437962293624878,3.379699969291687,429.3,124.6,4.532302719727357e-05,1.0,4.815999984741211,682.3333333333334,146.66666666666666,1.0,2.005066156387329,2.057028293609619,0.24507856369018555,0.0,0.01800174855746489,0.009588294551122903,0.13165658712387085,0.09446800500154495,0.18788594007492065,0.43250027298927307
22,all,7.154559135437012,1.969534993171692,3.393100047111511,465.2,120.9,1.7584020475841383e-05,1.0,4.45799994468689,793.6666666666666,144.0,1.0,6.943900108337402,2.055924892425537,0.23997381329536438,0.0,0.017911739814677568,0.009569117962020658,0.13177181780338287,0.09347578138113022,0.18785730004310608,0.4447649121284485
23,all,8.124192237854004,0.7652920484542847,4.1112000226974486,532.6,124.5,1.6656426970813975e-05,1.0,7.128999948501587,678.0,154.66666666666666,1.0,-1.9958453178405762,2.055513858795166,0.23580439388751984,0.0,0.01782218111560418,0.009549979726096617,0.13180136680603027,0.09326775372028351,0.18751418590545654,0.4561668336391449
24,all,7.20491886138916,2.5053629875183105,4.467000031471253,716.3,124.7,4.1368218195611516e-05,1.0,12.034000039100647,2140.0,211.0,1.0,5.591545581817627,2.05536150932312,0.23240794241428375,0.0,0.017733070210026156,0.009530879766644424,0.13180361688137054,0.09361506998538971,0.1869746744632721,0.46664565801620483
25,all,7.248714447021484,2.0221383571624756,3.284000015258789,452.8,111.5,3.469216105558795e-05,1.0,5.852000117301941,767.0,153.5,1.0,-3.6263866424560547,2.054953098297119,0.2295687198638916,0.0,0.017644404858976025,0.009511818007111135,0.13184282183647156,0.0938752144575119,0.1865028738975525,0.4763670563697815
26,all,7.806488990783691,1.3840140104293823,3.792300009727478,478.0,122.4,1.3093572232688498e-05,1.0,7.543500065803528,637.5,177.5,1.0,7.8204026222229,2.054337978363037,0.22718723118305206,0.0,0.017556182834681144,0.009492794371096912,0.1319350153207779,0.09441562741994858,0.18528354167938232,0.48531389236450195
27,all,7.075613498687744,2.152085781097412,3.515999984741211,522.0,114.0,2.0194820237206047e-05,1.0,8.166000008583069,1376.0,151.0,1.0,-1.7991065979003906,2.053819417953491,0.2251550853252411,0.0,0.017468401920507737,0.00947380878235472,0.13197703659534454,0.09572669863700867,0.1843634992837906,0.49355193972587585
28,all,8.275154113769531,0.9220143556594849,4.890699982643127,492.2,137.3,4.284555967514286e-05,1.0,7.322499990463257,561.5,194.0,1.0,3.323000907897949,2.0534417629241943,0.22336281836032867,0.0,0.0173810599109052,0.00945486116479001,0.13201284408569336,0.09733615070581436,0.18325704336166382,0.5011919140815735
29,all,8.143072128295898,2.1786916255950928,6.886499977111816,1356.2,140.6,3.2977086981637556e-05,1.0,22.27149999141693,5197.5,250.5,1.0,8.433680534362793,2.0531067848205566,0.22174419462680817,0.0,0.017294154611350674,0.009435951442460429,0.1320774257183075,0.09869444370269775,0.18175861239433289,0.5082792639732361
30,all,8.007660865783691,1.1524523496627808,4.465999984741211,431.6,131.6,3.8303100114033256e-05,1.0,7.499000072479248,581.5,189.5,1.0,-1.539868950843811,2.052424192428589,0.22024308145046234,0.0,0.017207683838293922,0.009417079539575508,0.13217389583587646,0.09946681559085846,0.18122774362564087,0.5148573517799377
31,all,7.38501501083374,1.2704331874847412,3.1597000122070313,332.1,118.2,2.2941863936838162e-05,1.0,7.260999917984009,569.5,188.5,1.0,4.117087364196777,2.0513153076171875,0.21881063282489777,0.0,0.017121645419102452,0.009398245380496356,0.1323123574256897,0.09980033338069916,0.18136055767536163,0.5209676027297974
32,all,7.035996437072754,2.524885416030884,3.84060001373291,424.1,131.7,3.5107177007120246e-05,1.0,9.954500079154968,670.5,189.0,1.0,5.886959552764893,2.050405979156494,0.21743665635585785,0.0,0.01703603719200694,0.009379448889735364,0.13244065642356873,0.0998501181602478,0.1802741140127182,0.5266087055206299
33,all,7.320958137512207,1.662048578262329,2.7778000116348265,411.4,109.4,2.3320093657592973e-05,1.0,4.678499937057495,545.0,148.5,1.0,1.3247116804122925,2.0503103733062744,0.2160702496767044,0.0,0.016950857006046902,0.009360689991955893,0.13247300684452057,0.100265733897686,0.177752286195755,0.5318382978439331
34,all,7.105710029602051,2.0899367332458496,3.105999994277954,501.5,113.9,4.8686793107813935e-05,1.0,6.691499948501587,1245.5,143.5,1.0,-0.7867640256881714,2.050513505935669,0.21465028822422028,0.0,0.016866102721016667,0.009341968611971981,0.13246233761310577,0.10069888085126877,0.17577716708183289,0.5367164015769958
35,all,8.32108211517334,0.41356420516967773,3.9694999933242796,607.3,128.1,4.1003086228268205e-05,1.0,5.3459999561309814,577.5,156.0,1.0,2.839853286743164,2.0504870414733887,0.2132164090871811,0.0,0.016781772207411585,0.009323284674748036,0.13251428306102753,0.10003309696912766,0.1741865873336792,0.541215717792511
36,all,7.09652853012085,1.6641086339950562,2.805299997329712,387.0,117.3,2.36407233803229e-05,1.0,4.644000053405762,720.5,134.0,1.0,4.45141077041626,2.050806999206543,0.21167156100273132,0.0,0.016697863346374527,0.009304638105398541,0.13252539932727814,0.10002800822257996,0.17238563299179077,0.5454190969467163
37,all,7.510870933532715,1.6142492294311523,3.3687000036239625,420.8,130.7,6.071416602273314e-05,1.0,5.4670000076293945,553.0,173.5,1.0,8.331271171569824,2.051983594894409,0.21001659333705902,0.0,0.016614374029642654,0.009286028829187744,0.13240879774093628,0.10014532506465912,0.17002025246620178,0.5493332743644714
38,all,8.593022346496582,3.670091152191162,9.485700058937073,1650.3,134.0,0.000680288703487502,0.9,35.69450008869171,6755.5,239.0,0.5,-0.6180981397628784,2.0533406734466553,0.20815685391426086,0.0,0.01653130215949444,0.009267456771529368,0.1322775036096573,0.10053933411836624,0.16756398975849152,0.5530184507369995
39,all,7.007793426513672,2.871439218521118,4.971700000762939,874.8,127.7,5.334867804176425e-05,1.0,16.70899999141693,3045.0,234.0,1.0,4.695178508758545,2.054081439971924,0.20611755549907684,0.0,0.01644864564869697,0.009248921857986309,0.13221895694732666,0.10066539794206619,0.16607628762722015,0.5564673542976379
40,all,8.200597763061523,1.032207727432251,4.675200009346009,585.4,132.9,3.992754901434871e-05,1.0,10.254000067710876,1102.5,168.0,1.0,-4.86628532409668,2.0552077293395996,0.20378930866718292,0.0,0.016366402420453483,0.009230424014270336,0.13210363686084747,0.10080586373806,0.167029470205307,0.5597348809242249
41,all,7.840071201324463,1.3315238952636719,3.779699969291687,509.8,131.3,9.777003025294455e-06,1.0,7.179999947547913,749.5,152.0,1.0,0.4255145788192749,2.0556282997131348,0.2011277973651886,0.0,0.016284570408351216,0.009211963166241795,0.1320817917585373,0.10037311911582947,0.16777761280536652,0.562841534614563
42,all,7.541330814361572,1.5054174661636353,3.554400014877319,454.4,118.0,3.969864867018429e-05,1.0,7.320500135421753,587.0,179.0,1.0,0.3194638192653656,2.0566489696502686,0.1980891227722168,0.0,0.016203147556309458,0.009193539239909312,0.13195204734802246,0.10055306553840637,0.16740958392620087,0.5658069252967834
43,all,7.148519992828369,1.781516671180725,3.698900055885315,375.4,119.2,2.125640035615725e-05,1.0,7.32449996471405,805.0,190.5,1.0,2.0466551780700684,2.0579309463500977,0.1946321278810501,0.0,0.01612213181852791,0.009175152161429494,0.13180574774742126,0.1011945828795433,0.16715992987155914,0.5686496496200562
44,all,7.2384185791015625,2.0765442848205566,4.046900057792664,402.0,108.8,2.780211797284801e-05,1.0,8.441500067710876,587.5,160.5,1.0,-1.8194507360458374,2.0594000816345215,0.19083155691623688,0.0,0.01604152115943527,0.009156801857106635,0.13159970939159393,0.10174405574798584,0.16651445627212524,0.5713547468185425
45,all,7.858390808105469,1.578016996383667,3.987899971008301,673.2,117.2,3.0310209936671352e-05,1.0,7.523000001907349,1624.0,122.0,1.0,4.879550933837891,2.0604987144470215,0.18654926121234894,0.0,0.015961313553638095,0.009138488253392422,0.13143382966518402,0.10244422405958176,0.16536423563957214,0.573975145816803
