step,mode,R_mean,R_std,avg_rt,avg_nodes,avg_lazy,avg_gap,avg_solved,tail_rt,tail_nodes,tail_lazy,tail_solved,loss,Hmix,rep,scale_reg,entropy_coeff,repulsion_w,scale_mean,scale_min,scale_max,center_pairdist_mean
1,all,6.5242791175842285,2.0011751651763916,2.061199951171875,347.1,102.6,3.882276573297862e-05,1.0,3.5646665891011557,568.3333333333334,149.66666666666666,1.0,-3.404322385787964,2.0794413089752197,0.9735880494117737,0.0,0.0199,0.009980000000000001,0.12742799520492554,0.12742799520492554,0.12742799520492554,0.042785562574863434
2,all,7.588507652282715,1.8116861581802368,3.182799959182739,528.5,129.9,3.692166626512736e-05,1.0,5.672333240509033,802.6666666666666,183.33333333333334,1.0,4.835452556610107,2.078251600265503,0.9420956373214722,0.0,0.019800500000000002,0.009960040000000002,0.12904971837997437,0.12159746140241623,0.13352106511592865,0.0640999972820282
3,all,8.1255521774292,1.6566916704177856,6.124399948120117,507.1,137.1,3.78723874665106e-05,1.0,9.74233333269755,660.6666666666666,187.33333333333334,1.0,-4.372241497039795,2.076615333557129,0.9005380272865295,0.0,0.0197014975,0.009940119920000002,0.13044913113117218,0.11724016815423965,0.13946843147277832,0.08500447124242783
4,all,7.403868675231934,2.222182035446167,4.227099990844726,399.9,123.4,3.634643349295404e-05,1.0,7.4043333530426025,635.6666666666666,149.66666666666666,1.0,3.450758457183838,2.074918270111084,0.8513628840446472,0.0,0.0196029900125,0.009920239680160002,0.13096436858177185,0.11527553200721741,0.14575988054275513,0.10557260364294052
5,all,8.335476875305176,1.090788722038269,5.308400011062622,534.2,130.8,3.091762799955584e-05,1.0,7.534000078837077,694.6666666666666,155.0,1.0,1.0720065832138062,2.0743017196655273,0.7941118478775024,0.0,0.0195049750624375,0.009900399200799681,0.13071787357330322,0.11494924128055573,0.1497306078672409,0.12690119445323944
6,all,8.051033973693848,1.5938533544540405,5.302500033378601,495.2,137.3,3.7888160193802905e-05,1.0,8.23799999554952,710.6666666666666,169.33333333333334,1.0,-0.8220255970954895,2.073335647583008,0.732132077217102,0.0,0.01940745018712531,0.009880598402398083,0.13090655207633972,0.11226692795753479,0.1526123732328415,0.14859649538993835
7,all,6.9182257652282715,2.360909938812256,3.787100005149841,362.6,108.9,4.111616810012925e-05,1.0,6.711999893188477,635.6666666666666,159.66666666666666,1.0,2.3406615257263184,2.072709083557129,0.6682988405227661,0.0,0.019310412936189684,0.009860837205593286,0.13097044825553894,0.11070837825536728,0.1538224220275879,0.17056138813495636
8,all,7.84844970703125,1.8832030296325684,5.291300058364868,526.4,118.2,1.5043138543894788e-05,1.0,9.80400005976359,995.0,167.33333333333334,1.0,-1.2475041151046753,2.0721895694732666,0.6054686307907104,0.0,0.019213860871508736,0.0098411155311821,0.1307891607284546,0.10974805057048798,0.15510830283164978,0.19265766441822052
9,all,8.181658744812012,1.0069408416748047,4.975299954414368,457.0,134.4,2.349712610066884e-05,1.0,9.430333296457926,661.6666666666666,175.33333333333334,1.0,1.0284336805343628,2.0716850757598877,0.5460860133171082,0.0,0.019117791567151193,0.009821433300119736,0.13064002990722656,0.10853271931409836,0.1563379019498825,0.21473202109336853
10,all,8.109959602355957,1.607271671295166,5.320000052452087,579.9,119.2,2.822945407951471e-05,1.0,9.26200000445048,806.6666666666666,145.66666666666666,1.0,3.2799670696258545,2.071301221847534,0.4919556975364685,0.0,0.019022202609315437,0.009801790433519496,0.1305711269378662,0.10833240300416946,0.15784399211406708,0.23661968111991882
