step,mode,R_mean,R_std,avg_rt,avg_nodes,avg_lazy,avg_gap,avg_solved,tail_rt,tail_nodes,tail_lazy,tail_solved,loss,Hmix,rep,scale_reg,entropy_coeff,repulsion_w,scale_mean,scale_min,scale_max,center_pairdist_mean
1,all,6.80374813079834,2.010716199874878,3.0449999809265136,347.1,102.6,3.882276573297862e-05,1.0,4.9429999987284345,568.3333333333334,149.66666666666666,1.0,-3.392221212387085,2.0794413089752197,0.9735880494117737,0.0,0.0199,0.009980000000000001,0.12742799520492554,0.12742799520492554,0.12742799520492554,0.042785562574863434
2,all,6.939314842224121,2.117454767227173,3.440500044822693,370.8,114.2,3.150186114155635e-05,1.0,5.349666595458984,636.0,142.0,1.0,-0.5343112349510193,2.079441547393799,0.9733495116233826,0.0,0.019800500000000002,0.009960040000000002,0.12744292616844177,0.12736842036247253,0.12748761475086212,0.042985618114471436
3,all,7.791136264801025,1.186632752418518,3.6607000112533568,425.0,121.9,1.8974540757411178e-05,1.0,5.840666770935059,591.0,153.33333333333334,1.0,-5.005706787109375,2.0794413089752197,0.9731175303459167,0.0,0.0197014975,0.009940119920000002,0.1274556964635849,0.12735986709594727,0.1275435984134674,0.043179284781217575
4,all,7.7927703857421875,1.8414260149002075,4.631300020217895,431.8,131.6,4.1608364211169936e-05,1.0,7.759999990463257,583.0,165.33333333333334,1.0,4.334193706512451,2.0794413089752197,0.9728864431381226,0.0,0.0196029900125,0.009920239680160002,0.12746542692184448,0.12736770510673523,0.12760087847709656,0.04337141290307045
5,all,7.282998561859131,2.094813823699951,4.517900037765503,400.3,113.2,2.397210613411328e-05,1.0,9.310333331425985,667.6666666666666,165.33333333333334,1.0,-4.400473594665527,2.0794410705566406,0.9726501703262329,0.0,0.0195049750624375,0.009900399200799681,0.12746557593345642,0.12738746404647827,0.1275867372751236,0.043566830456256866
6,all,6.764094352722168,2.2020857334136963,3.4814000368118285,354.8,104.3,3.544078083395705e-05,1.0,6.367000102996826,594.3333333333334,127.0,1.0,-3.0965845584869385,2.0794413089752197,0.9724269509315491,0.0,0.01940745018712531,0.009880598402398083,0.12746812403202057,0.12738895416259766,0.12760068476200104,0.043750740587711334
7,all,6.7284255027771,2.4914917945861816,3.967900013923645,351.2,114.5,3.517907947063401e-05,1.0,6.797666629155477,630.0,180.66666666666666,1.0,1.899153470993042,2.0794410705566406,0.9721947908401489,0.0,0.019310412936189684,0.009860837205593286,0.12746764719486237,0.12738607823848724,0.12763549387454987,0.04394116625189781
8,all,7.323317527770996,2.3902125358581543,5.069800019264221,432.6,116.7,3.533495947620796e-05,1.0,9.220333417256674,735.0,165.0,1.0,-1.8050487041473389,2.0794413089752197,0.971955418586731,0.0,0.019213860871508736,0.0098411155311821,0.1274680644273758,0.12738355994224548,0.1276635378599167,0.044136594980955124
9,all,6.932365417480469,1.7354742288589478,3.2679000377655028,305.0,102.5,3.5974511125891176e-05,1.0,4.8683334191640215,648.6666666666666,124.33333333333333,1.0,1.9589214324951172,2.0794413089752197,0.9717106819152832,0.0,0.019117791567151193,0.009821433300119736,0.12747028470039368,0.12736192345619202,0.1276826560497284,0.04433566704392433
10,all,7.3154616355896,2.231471300125122,4.908299970626831,402.5,124.7,5.478772320458771e-05,1.0,7.936000029246013,619.6666666666666,144.0,1.0,1.0850921869277954,2.0794410705566406,0.9714608788490295,0.0,0.019022202609315437,0.009801790433519496,0.12747123837471008,0.1273433417081833,0.12768316268920898,0.04453783854842186
11,all,6.431563377380371,2.336824655532837,3.02769992351532,309.0,104.3,4.567611452848266e-05,1.0,5.762666543324788,592.6666666666666,144.33333333333334,1.0,0.33668309450149536,2.0794410705566406,0.9712075591087341,0.0,0.01892709159626886,0.009782186852652457,0.12747186422348022,0.12732279300689697,0.12769675254821777,0.04474196955561638
12,all,8.08658218383789,1.2067300081253052,4.877299976348877,442.9,134.4,3.62336229893089e-05,1.0,8.752666711807251,644.6666666666666,156.33333333333334,1.0,-2.838041305541992,2.0794410705566406,0.9709504246711731,0.0,0.018832456138287518,0.009762622478947153,0.1274717152118683,0.1273113489151001,0.12770795822143555,0.044948332011699677
13,all,8.033624649047852,1.21956467628479,4.701600027084351,525.7,127.9,4.458562810740068e-05,1.0,6.541999975840251,692.0,147.33333333333334,1.0,-4.87786865234375,2.0794410705566406,0.9706991314888,0.0,0.01873829385759608,0.00974309723398926,0.12747187912464142,0.12729142606258392,0.12772145867347717,0.0451490543782711
14,all,7.115924835205078,2.3028793334960938,4.06150004863739,435.8,104.6,1.911466984632889e-05,1.0,7.587666591008504,726.6666666666666,140.0,1.0,-0.4725733995437622,2.0794410705566406,0.9704427123069763,0.0,0.0186446023883081,0.00972361103952128,0.12747177481651306,0.12728248536586761,0.12773023545742035,0.045352958142757416
