step,mode,R_mean,R_std,avg_rt,avg_nodes,avg_lazy,avg_gap,avg_solved,tail_rt,tail_nodes,tail_lazy,tail_solved,loss,Hmix,rep,scale_reg,entropy_coeff,repulsion_w,scale_mean,scale_min,scale_max,center_pairdist_mean
1,all,11.196386337280273,1.6718705892562866,4.81340000629425,422.4,135.6,inf,0.2,5.014333327611287,508.6666666666667,159.33333333333334,0.0,6.4016852378845215,2.0794413089752197,0.9735880494117737,0.0,0.0199,0.009980000000000001,0.12742799520492554,0.12742799520492554,0.12742799520492554,0.042785562574863434
2,all,10.414746284484863,3.1166141033172607,4.703800010681152,347.3,114.1,0.05716755768591668,0.2,5.004000027974446,444.6666666666667,145.66666666666666,0.0,3.6830272674560547,2.0794410705566406,0.9731093645095825,0.0,0.019800500000000002,0.009960040000000002,0.12745842337608337,0.12730886042118073,0.1275472640991211,0.04318613186478615
3,all,11.319129943847656,1.2428998947143555,4.938400053977967,390.9,112.1,inf,0.1,5.0076667467753095,482.0,127.33333333333333,0.0,12.748936653137207,2.0794405937194824,0.9726290106773376,0.0,0.0197014975,0.009940119920000002,0.12747637927532196,0.12720714509487152,0.12766672670841217,0.04358423501253128
4,all,10.656607627868652,2.5342822074890137,4.652099967002869,358.5,123.2,inf,0.2,5.003000020980835,530.3333333333334,131.33333333333334,0.0,-1.7828055620193481,2.079440116882324,0.972141683101654,0.0,0.0196029900125,0.009920239680160002,0.1274760514497757,0.12709783017635345,0.1277574896812439,0.04398447275161743
5,all,11.553306579589844,1.590623378753662,5.0110999822616575,433.1,135.2,inf,0.0,5.015333334604899,523.3333333333334,154.33333333333334,0.0,-0.9656869769096375,2.079439401626587,0.9716446995735168,0.0,0.0195049750624375,0.009900399200799681,0.1274716556072235,0.12703414261341095,0.12780596315860748,0.04438892379403114
6,all,10.957742691040039,2.6129777431488037,4.673199963569641,431.6,138.8,inf,0.2,5.0063332716623945,527.0,175.0,0.0,1.9133440256118774,2.079439163208008,0.971160352230072,0.0,0.01940745018712531,0.009880598402398083,0.12746787071228027,0.12699009478092194,0.12780643999576569,0.0447797067463398
7,all,10.591276168823242,2.2226402759552,4.977600002288819,396.1,118.3,inf,0.1,5.010666608810425,571.0,135.66666666666666,0.0,0.0619526132941246,2.0794386863708496,0.9706611633300781,0.0,0.019310412936189684,0.009860837205593286,0.12746402621269226,0.12693026661872864,0.12784211337566376,0.045178841799497604
8,all,11.27961540222168,1.9310040473937988,4.667000007629395,480.5,136.1,inf,0.2,5.004333416620891,530.0,171.0,0.0,0.701145350933075,2.0794379711151123,0.9701484441757202,0.0,0.019213860871508736,0.0098411155311821,0.12746132910251617,0.12686583399772644,0.12784355878829956,0.04558517411351204
9,all,11.621225357055664,1.661418080329895,5.013199996948242,485.8,129.6,inf,0.0,5.007999976476033,587.3333333333334,149.66666666666666,0.0,-4.226072311401367,2.079437017440796,0.9696354866027832,0.0,0.019117791567151193,0.009821433300119736,0.12745746970176697,0.12680651247501373,0.12788401544094086,0.045988064259290695
10,all,11.019254684448242,1.7029136419296265,4.790100002288819,366.0,130.4,0.09819548309161842,0.2,5.005666573842366,507.6666666666667,139.66666666666666,0.0,-1.9323679208755493,2.0794363021850586,0.9691125154495239,0.0,0.019022202609315437,0.009801790433519496,0.12745749950408936,0.12680725753307343,0.12795747816562653,0.046395350247621536
